series_id,type,size_label,min_kg,max_kg
pampers_sarasara,tape,新生児,0,5
pampers_sarasara,tape,S,4,8
pampers_sarasara,tape,M,6,11
pampers_sarasara,tape,L,9,14
pampers_sarasara,pants,Mはいはい,5,10
pampers_sarasara,pants,Mたっち,6,12
pampers_sarasara,pants,L,9,14
pampers_sarasara,pants,ビッグ,12,22
pampers_sarasara,pants,ビッグより大きい,15,28
merries_first,tape,新生児(3000gまで),0,3
merries_first,tape,新生児(5000gまで),0,5
merries_first,tape,S,4,8
merries_first,tape,M,6,11
merries_first,pants,S,4,8
merries_first,pants,M,6,12
merries_first,pants,L,9,14
merries_first,pants,ビッグ,12,22
merries_airthrough,tape,新生児(5000gまで),0,5
merries_airthrough,tape,S,4,8
merries_airthrough,tape,M,6,11
merries_airthrough,pants,S,4,8
merries_airthrough,pants,M,6,12
merries_airthrough,pants,L,9,14
merries_airthrough,pants,ビッグ,12,22
merries_airthrough,pants,ビッグより大きい,15,28
merries_gussuri,pants,L,9,15
merries_gussuri,pants,ビッグ,12,22
merries_gussuri,pants,ビッグより大きい,15,28
pampers_hadaichi,tape,3S小さめ新生児,0,3
pampers_hadaichi,tape,新生児,0,5
pampers_hadaichi,tape,S,4,8
pampers_hadaichi,tape,M,6,11
pampers_hadaichi,tape,L,9,14
pampers_hadaichi,pants,Mはいはい,5,10
pampers_hadaichi,pants,Mたっち,6,12
pampers_hadaichi,pants,L,9,14
pampers_hadaichi,pants,ビッグ,12,22
pampers_airy,pants,M,5,12
pampers_airy,pants,L,9,14
pampers_airy,pants,ビッグ,12,22
pampers_oyasumi,pants,M,5,12
pampers_oyasumi,pants,L,9,14
pampers_oyasumi,pants,ビッグ,12,17
pampers_oyasumi,pants,ビッグより大きい,15,28
pampers_oyasumi,pants,スーパーBIG,18,35
moony,tape,新生児(3000gまで),0,3
moony,tape,新生児(5000gまで),0,5
moony,tape,S,4,8
moony,tape,M,6,11
moony,tape,L,9,14
moony,pants,S,4,8
moony,pants,Mはいはい,5,10
moony,pants,Mたっち,6,12
moony,pants,L,9,14
moony,pants,ビッグ,12,22
moony,pants,ビッグより大きい,13,28
moony,pants,スーパービッグ,18,35
moony_natural,tape,新生児(3000gまで),0,3
moony_natural,tape,新生児(5000gまで),0,5
moony_natural,tape,S,4,8
moony_natural,tape,M,6,11
moony_natural,pants,S,4,8
moony_natural,pants,M,5,10
moony_natural,pants,L,9,14
moony_natural,pants,ビッグ,12,22
moony_oyasumi,pants,M,6,12
moony_oyasumi,pants,L,9,14
moony_oyasumi,pants,ビッグ以上,13,28
moony_oyasumi,pants,スーパービッグ,18,35
goon_more0,pants,M,6,12
goon_more0,pants,L,9,14
goon_more0,pants,BIG,12,22
goon_more0,tape,新生児,0,5
goon_more0,tape,S,4,8
goon_more0,tape,M,6,11
goon_more0,tape,L,9,14
goon_more0,tape,BIG(XL),12,20
goon_chouusu,pants,L,9,16
goon_chouusu,pants,BIG,12,24
goon_12h,pants,BIG,12,22
goon_12h,pants,BIGより大きい,13,28
goon_gungun,pants,M,6,12
goon_gungun,pants,L,9,14
goon_gungun,pants,BIG,12,22
goon_gungun,pants,BIGより大きい,13,28
goon_night,pants,ナイトキッズ(90-120cm),13,25
goon_night,pants,ナイトジュニア(110-140cm),15,35
goon_superbig,tape,スーパーBIG,15,35
goon_superbig,pants,スーパーBIG,15,35
mamypoko_std,pants,S,4,9
mamypoko_std,pants,M,6,13
mamypoko_std,pants,L,9,15
mamypoko_std,pants,XL,12,22
mamypoko_std,pants,XXL,13,28
mamypoko_night,pants,M,6,13
mamypoko_night,pants,L,9,15
mamypoko_night,pants,XL,12,22
mamypoko_night,pants,XXL,13,28
genki_std,pants,M,6,12
genki_std,pants,L,9,14
genki_std,pants,BIG,12,22
genki_std,pants,BIGより大きい,13,28
nishimatsuya_baby,tape,M,6,11
nishimatsuya_baby,pants,L,8,12
nishimatsuya_baby,pants,ビッグ,11,14
nishimatsuya_baby,pants,ゆったりBIG,12,17
moony_trepan,pants,L,9,14
moony_trepan,pants,ビッグ,12,22
moony_mizuasobi,pants,M,6,12
moony_mizuasobi,pants,L,9,14
moony_mizuasobi,pants,ビッグ,12,22
goon_swimming,pants,M,6,12
goon_swimming,pants,L,9,14
goon_swimming,pants,BIG,12,20
